review_text,sentiment,punctuation_and_digit_removal,casefolding
The product quality is amazing!!! I love it :),positive,The product quality is amazing I love it ,the product quality is amazing i love it 
Terrible service... I will NEVER buy again!!!,negative,Terrible service I will NEVER buy again,terrible service i will never buy again
"Pretty good (7/10), but could be better.",neutral,Pretty good  but could be better,pretty good  but could be better
Absolutely fantastic experience!!!,positive,Absolutely fantastic experience,absolutely fantastic experience
Not great :( had a lot of issues.,negative,Not great  had a lot of issues,not great  had a lot of issues
I am so happy with this purchase <3,positive,I am so happy with this purchase ,i am so happy with this purchase 
Worst decision ever. Waste of $100!!!,negative,Worst decision ever Waste of ,worst decision ever waste of 
It works fine; nothing extraordinary.,neutral,It works fine nothing extraordinary,it works fine nothing extraordinary
Exceeded my expectations: 10/10!!!,positive,Exceeded my expectations ,exceeded my expectations 
Disappointed... it broke after a week :(,negative,Disappointed it broke after a week ,disappointed it broke after a week 
